! comment start with '!', add reactions to each line, definitions see http://kida.obs.u-bordeaux1.fr/help
! alpha, beta, gamma: coefficients of reaction rates
! F: the uncertainty factor on the rate coefficient
! g: the temperature dependence of the uncertainty factor F
! err: Type of uncertainty : lognormal (logn) , normal (norm) , loguniform (logu) , uniform (unif)
!
! itype: the type of reaction:
! 1: direct CR ionization/dissociation. Format A + CR -> B + C
! 2: CR induced ionization/dissociation by UV photons emitted following H2 excitation. Format A + CRP -> B + C
! 3: FUV dissociation/ionization
! 4: Neutral-neutral (A + B → C + D), ion-neutral (A+ + B → C+ +D, A- + B → C- + D), anion-cation (A+ + B- → C + D) reactions and associative ionization (A + B → AB+ + e-)
! 5: Exchange reaction A+ + B → A + B+ and A+ + B- → A + B
! 6: Association reactions between two species (neutral or ionized) stabilized by the emission of a photon (A + B → AB + photon or A+ + B → AB+ + photon).
! 7: Association of a neutral species and an anion, resulting in the ejection of the extra electron (A- + B → AB + e-).
! 8: Recombination of a positive ion with an electron resulting in the dissociation of the molecule (AB+ + e- → A + B) or the emission of a photon
!    (AB+ + e- → AB + photon) or the attachment of the electron (A + e- → A- + photon)
! 9: grain assisted reactions (H2 formation, recombination)
! 10: other special reactions, up to 3 reactants and 5 products
! Tmin, Tmax: temperature range. When we do not have information on Trange, default values are used: -9999,9999.
!
! frml: formular for reaction rates:
! 1: Cosmic-ray ionization (direct and undirect)
! 2: Photo-dissociation (Draine)
! 3: Kooij 
! 4: ionpol1 
! 5: ionpol2 
! 6: Troe fall-off
! 7: customized
! ID: the number of reaction, the special rates are also set by this ID. ID has
!     to be an unique integer (int type in c++), but doesn't have to match the number of the line or any order.
! ni: the number of (alpha, beta, gamma) in the downloaded network when several values are present in KIDA. 
!
! r: Recommendation is the recommendation given by experts in KIDA. 
! 0: the value is not recommended. 
! 1: means that there is no recommendation (experts have not looked at the data). 
! 2: means that the value has been validated by experts over the Trange
! 3: means that it is the recommended value over Trange.
! 4: other (set in code. alpha, beta and gamma are irrelevant in this case)
! 5: new rates from Le Gal et al. 2014
! 6: new rates from UMIST12
!
! only columns starts with "*" is used in our program, the temperature range is extrapolated.
!   *Reactants 3x(s10+' ') + ' ' *Products 5x(s10+' ') + 2x' '                            *alpha     *beta      *gamma     F        g      err *itype Tmin  Tmax *frml  *ID ni r 
! Nitrogen network for NH3 and N2H+
! CR reactions. Note that here we define the rates according to the H ionization rate, not H2, which is 1/0.46 times larger than the kida rates
CH4        Photon                 H2         CH2                                           7.200e-10  0.000e+00  2.590e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8111 1  2
CH4        Photon                 H          CH3                                           2.400e-10  0.000e+00  2.590e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8112 1  2
N2         Photon                 N          N                                             2.300e-10  0.000e+00  3.880e+00 1.00e+01 0.00e+00 logn  3  -9999   9999  2  8113 1  2
NH         Photon                 H          N                                             5.000e-10  0.000e+00  2.330e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8114 1  2
NH         Photon                 NH+        e-                                            1.000e-11  0.000e+00  2.000e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8115 1  1
NH2        Photon                 H          NH                                            7.500e-10  0.000e+00  2.000e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8116 1  2
NH2        Photon                 NH2+       e-                                            1.730e-10  0.000e+00  2.590e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8117 1  1
NH3        Photon                 H          NH2                                           8.400e-10  0.000e+00  2.120e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8118 1  2
NH3        Photon                 NH3+       e-                                            2.800e-10  0.000e+00  3.120e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8119 1  2
NH3        Photon                 H2         NH                                            3.600e-10  0.000e+00  2.120e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8120 1  2
O2         Photon                 O          O                                             7.900e-10  0.000e+00  2.130e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8121 1  2
O2         Photon                 O2+        e-                                            7.600e-11  0.000e+00  3.870e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8122 1  2
OH         Photon                 H          O                                             3.800e-10  0.000e+00  2.660e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8123 1  2
OH         Photon                 OH+        e-                                            1.600e-12  0.000e+00  3.100e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8124 1  1
H2O        Photon                 H          OH                                            8.000e-10  0.000e+00  2.200e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8125 1  2
H2O        Photon                 H2O+       e-                                            3.100e-11  0.000e+00  3.900e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8126 1  2
CO         Photon                 C          O                                             2.400e-10  0.000e+00  3.880e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8127 1  2
CO2        Photon                 O          CO                                            8.900e-10  0.000e+00  3.000e+00 1.00e+01 0.00e+00 logn  3  -9999   9999  2  8128 1  2
NO         Photon                 N          O                                             4.700e-10  0.000e+00  2.120e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8129 1  2
NO         Photon                 NO+        e-                                            2.600e-10  0.000e+00  2.930e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8130 1  2
CN         Photon                 C          N                                             2.900e-10  0.000e+00  3.540e+00 1.00e+01 0.00e+00 logn  3  -9999   9999  2  8131 1  2
HCN        Photon                 H          CN                                            1.600e-09  0.000e+00  2.690e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8132 1  2
HNC        Photon                 H          CN                                            1.600e-09  0.000e+00  2.690e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8133 1  2
Fe         Photon                 Fe+        e-                                            2.800e-10  0.000e+00  2.200e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8134 1  2
Mg         Photon                 Mg+        e-                                            7.900e-11  0.000e+00  2.080e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8135 1  2
H2+        Photon                 H          H+                                            5.700e-10  0.000e+00  2.370e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8136 1  2
H3+        Photon                 H2         H+                                            2.000e-08  0.000e+00  1.800e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8137 1  1
H3+        Photon                 H          H2+                                           7.900e-09  0.000e+00  2.300e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8138 1  1
CH+        Photon                 C          H+                                            2.500e-10  0.000e+00  2.940e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8139 1  2
CH2+       Photon                 H          CH+                                           1.400e-10  0.000e+00  2.210e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8140 1  2
CH3+       Photon                 H2         CH+                                           1.000e-09  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8141 1  1
CH3+       Photon                 H          CH2+                                          1.000e-09  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2  8142 1  1
OH+        Photon                 O          H+                                            1.100e-11  0.000e+00  3.500e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2  8143 1  2
! grain assisted reactions
H          H                      H2                                                       0.000e+00  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  9  -9999   9999  7    16 1  1
H+         e-                     H                                                        0.000e+00  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  9  -9999   9999  7    17 1  1
C+         e-                     C                                                        0.000e+00  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  9  -9999   9999  7    18 1  1
He+        e-                     He                                                       0.000e+00  0.000e+00  0.000e+00 0.00e+00 0.00e+00 logn  9  -9999   9999  7    19 1  1
! additional reactions
H+         e-                     H                                                        0.000e+00  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  8  -9999   9999  7     3 1  1
O          H+                     H          O+                                            0.000e+00  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  5  -9999   9999  7     4 1  1
H2         H2+                    H          H3+                                           0.000e+00  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4  -9999   9999  7     5 1  1
